rule, support, confidence, lift
['a' -> 'c'], 0.48, 0.6857142857142857, 1.0084033613445378
['h' -> 'a'], 0.3, 0.6, 0.8571428571428572
['c' -> 'e'], 0.38, 0.5588235294117647, 1.0348583877995643
['n' -> 'c'], 0.24, 0.6666666666666666, 0.980392156862745
['e' -> 'f'], 0.36, 0.6666666666666666, 1.1904761904761902
['l' -> 'e'], 0.26, 0.5909090909090909, 1.0942760942760943
['f' -> 'i'], 0.34, 0.6071428571428571, 1.2648809523809523
['g' -> 'f'], 0.34, 0.6071428571428571, 1.0841836734693875
['i' -> 'g'], 0.3, 0.625, 1.1160714285714284
['i' -> 'i'], 0.48, 1.0, 2.0833333333333335
['g' -> 'l'], 0.3, 0.5357142857142857, 1.2175324675324675
['f' -> 'g'], 0.34, 0.6071428571428571, 1.0841836734693875
['l' -> 'n'], 0.32, 0.7272727272727273, 2.0202020202020203
['e' -> 'l'], 0.26, 0.48148148148148145, 1.0942760942760943
['n' -> 'h'], 0.24, 0.6666666666666666, 1.3333333333333333
['c' -> 'n'], 0.24, 0.35294117647058826, 0.9803921568627452
['a' -> 'h'], 0.3, 0.42857142857142855, 0.8571428571428571

